word,base_word
basmati,basmati
daawat,daawat
quinoa,quinoa
flax,flax
birthday,birthday
yogabar,yogabar
berries,berry
fuit,fuit
rollups,rollups
graham,graham
keebler,keebler
crusts,crust
flavored,flavor
kwality,kwality
wall,wall
fudge,fudge
vadilal,vadilal
cones,cone
frosting,frost
decoration,decoration
mason,mason
witches,witch
sprinkles,sprinkle
puramate,puramate
rainbow,rainbow
jimmies,jimmy
winter,winter
theme,theme
carnation,carnation
evaporated,evaporate
extract,extract
essence,essence
ajanta,ajanta
nutritional,nutritional
creole,creole
ghee,ghee
tart,tart
unfiltered,unfiltered
solid,solid
spaghetti,spaghetti
alphabet,alphabet
preserve,preserve
mala,mala
southern,southern
gherkin,gherkin
coca,coca
prebiotic,prebiotic
sosyo,sosyo
beer,beer
queso,queso
microwave,microwave
movie,movie
theatre,theatre
mountain,mountain
kodai,kodai
